id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
95239,2020-04-30 00:00:31,海地,76,0,8,6,0,,,,,,,,
23,2020-04-29 07:39:34,瑞典,19621,0,1005,2355,0,,,0.0,,,0.0,,
95237,2020-04-30 00:00:31,特里尼达和多巴哥,116,0,59,8,0,,,,,,,,
95jibuti,2020-04-29 14:14:42,吉布提,1072,0,498,2,0,,,0.0,,,0.0,,
9512314,2020-04-30 00:00:31,圣多美与普林西比,8,0,0,0,0,,,,,,,,
953487,2020-04-30 07:44:20,布基纳法索,641,0,498,43,0,,3.0,0.0,22.0,1.0,0.0,,
954332,2020-04-30 00:00:30,比利时,47859,0,11283,7501,0,,,,,,,,
9534324,2020-04-30 07:46:45,伊拉克,2003,0,1346,92,0,,75.0,0.0,27.0,2.0,0.0,,
95000111,2020-04-30 00:00:31,马拉维,36,0,5,3,0,,,,,,,,
95010,2020-04-29 07:47:41,冰岛,1795,0,1636,10,0,,,0.0,,,0.0,,
95jnybs,2020-04-30 00:00:31,几内亚比绍,73,0,18,1,0,,,,,,,,
953333666,2020-04-30 00:00:31,拉脱维亚,849,0,348,15,0,,,,,,,,
9512111,2020-04-30 00:00:31,不丹,7,0,5,0,0,,,,,,,,
957873,2020-04-29 13:48:32,挪威,7660,0,32,206,0,,,0.0,,,0.0,,
9524546,2020-04-30 00:00:31,印度尼西亚,9771,0,1391,784,0,,,,,,,,
956789,2020-04-30 00:00:31,安哥拉,27,0,6,2,0,,,,,,,,
87656,2020-04-30 00:00:31,开曼群岛,70,0,10,1,0,,,,,,,,
95844,2020-04-30 00:00:31,埃塞俄比亚,126,0,50,3,0,,,,,,,,
95879,2020-04-30 00:00:31,梵蒂冈,10,0,2,0,0,,,,,,,,
95632,2020-04-30 07:35:40,科特迪瓦,1238,0,557,14,0,,55.0,0.0,32.0,0.0,0.0,,
95634,2020-04-30 00:00:31,卡塔尔,12564,0,1243,10,0,,,,,,,,
950611,2020-04-30 00:00:31,格鲁吉亚,517,0,168,6,0,,,,,,,,
96745,2020-04-29 09:07:25,墨西哥,16752,0,2627,1569,0,,,0.0,,,0.0,,
95891,2020-04-30 00:00:31,圣马力诺,553,0,64,41,0,,,,,,,,
95400,2020-04-30 00:00:31,哈萨克斯坦,3063,0,774,25,0,,,,,,,,
95643,2020-04-30 00:00:31,安道尔,743,0,398,41,0,,,,,,,,
95886,2020-04-30 00:00:31,牙买加,381,0,29,7,0,,,,,,,,
82333,2020-04-30 00:00:31,格恩西岛,247,0,191,13,0,,,,,,,,
95677,2020-04-30 02:47:20,罗马尼亚,11978,0,3569,675,0,,362.0,0.0,165.0,25.0,0.0,,
95436,2020-04-30 00:00:31,阿曼,2274,0,364,10,0,,,,,,,,
95672,2020-04-30 00:00:31,列支敦士登,82,0,55,1,0,,,,,,,,
9547021,2020-04-30 00:00:31,马达加斯加,128,0,82,0,0,,,,,,,,
